id,source,username,date,period,groupe_politique,text,keyword_matches,stance,intensity,target,frame,confidence,notes,depute_name
1,twitter,gabriellecthl,2025-11-19,P7_cessez_feu,LFI-NFP,"Au moins 98 Palestiniens de tous âges sont morts en détention en Israël depuis le 7 octobre 2023, selon les investigations de l’ONG Physicians for Human Rights - Israel. 

«  Le meurtre de Palestiniens en détention est devenu une pratique normalisée »",['palestiniens' 'israel' 'palestinien' '7 octobre'],,,,,,,
2,twitter,legavrejerome,2025-05-30,P7_cessez_feu,LFI-NFP,"Et c’est le cas depuis bien longtemps. Seuls le gouvernement, ses soutiens politiques (ils sont nombreux…) et la petite cour médiatique ne l’ont pas vu.
Le fait que cela soit dit finalement en dit long sur l’ampleur de la crise au sommet. Plus que jamais il faut redoubler d’efforts, se mobiliser comme nous le faisons depuis plus de 18 mois pour la suspension immédiate de tous les accords avec Israël, l’embargo total sur les livraisons d’armes, la mise au ban du régime de Netanyahu. 
Demain à Livry Gargan dans ma circonscription une manifestation aura lieu à partir de 15h00 (départ marché Jacob) : une fois de plus, nous y porterons ces exigences.",['israel' 'netanyahu'],,,,,,,
3,twitter,caronaymericoff,2025-04-16,P7_cessez_feu,LFI-NFP,"L’hypocrisie et la lâcheté sont décidément les plaies de la vie politique française.

J’exige ce matin la démission du député @MoDem Richard Ramos de son poste de président du groupe d’amitié France-Palestine à l’Assemblée nationale, poste dont il est désormais indigne.

En effet, hier soir sur @CNEWS, Richard Ramos a été interrogé sur l’action que j’ai menée dans l’hémicycle avec le groupe @FranceInsoumise, pour donner un nom et un visage aux enfants tués à Gaza par Israël.

Non seulement Richard Ramos n’a pas eu un mot de soutien pour cette action, encore moins pour les 20 000 enfants palestiniens tués à Gaza, mais il en plus il a osé nous accuser de « récupération politique » et d’antisémitisme.

On parle ici du président du groupe d’amitié France-Palestine.

Richard, comment as-tu osé?

La semaine dernière encore tu m’as fait la bise quand tu m’as croisé.

Et il y quelques mois tu m’as envoyé un texto pour me féliciter pour une interview en longueur que j’avais donnée sur Israël, dans laquelle je dénonçais le gouvernement israélien « criminel et assassin » et où je pointais la responsabilité de l’Occident dans le malheur des Palestiniens. Exactement ce que j’ai répété dans l’hémicycle en montrant le portrait de Bissan Al Hindi.

À quel jeu joues-tu Richard ?

Un double discours pour conserver ta place sur Télé-Facho ? Pour conserver ta position au Modem?

Mais ce n’est pas l’heure de jouer Richard: un génocide est en cours, et des dizaines de milliers d’enfants en sont victimes.

Démissionne et laisse ta place à une ou véritable ami-e du peuple palestinien.
@HalaAbouHassira","['palestiniens' 'israelien' 'israel' 'palestine' 'gaza' 'palestinien'
 'gouvernement israelien' 'antisemitisme' 'genocide']",,,,,,,
4,twitter,legavrejerome,2025-07-07,P7_cessez_feu,LFI-NFP,"Ce que dit ici É. Borne revient à dire : « nous n’avons pas assez réprimé les étudiants de sciences Po, de La Sorbonne et d’ailleurs. Il faut aller plus loin ».
Très fier d’appartenir à un groupe parlementaire qui refuse l’instrumentalisation de la lutte contre l’antisémitisme et qui a refusé en bloc une loi liberticide, dont le seul objectif est de vouloir faire taire et mettre au pas ceux qu’indigne l’extermination des palestiniens.",['palestiniens' 'palestinien' 'antisemitisme'],,,,,,,
5,twitter,caronaymericoff,2025-09-27,P7_cessez_feu,LFI-NFP,"Raphaël Glucksmann réaffirme qu’il ne veut pas utiliser le terme de « génocide » par qualifier les 100 000 morts, essentiellement des civils, les centaines de milliers de blessés, la famine, le nettoyage ethnique en cours à Gaza depuis 2 ans.

Car pour lui, comparé à la Shoah et au génocide des Tutsis, le mot ne convient pas.

Au delà du fait qu’il s’assoit sur la définition du droit international, il n’avait pas du tout les mêmes précautions à propos des Ouighours, dont il s’est battu pour qu’on reconnaisse le… génocide.

Hypocrisie.
Négationnisme.",['gaza' 'famine' 'droit international' 'civils' 'genocide'],,,,,,,
6,twitter,clairemlejeune,2025-06-25,P7_cessez_feu,LFI-NFP,"Magnifique nouvelle qui nous arrive de New York où le candidat Zohran Mamdani emporte largement la primaire démocrate, déjouant les pronostics qui donnaient un score serré. 

Clair sur la condamnation du génocide en Palestine. Clair sur son opposition sans concession à Trump et son monde. D'une gauche qui est là pour le peuple et qui est sans compromis avec la vieille ligne neoliberale des Démocrates qui a mené Harris et Biden dans le mur et le pays à Trump. Les gens y voient clair et n'en veulent plus. La gauche radicale, qui tient debout et résiste, est splendide et donne à espérer. 

Congrats @ZohranKMamdani ✊",['palestine' 'genocide'],,,,,,,
7,twitter,alma_dufour,2025-10-08,P7_cessez_feu,LFI-NFP,"À Rouen, rendez-vous à 17h30 Théâtre des Arts pour exiger la libération d'Alma Dufour et de tous les équipages de Thousand Madleens to Gaza.",['gaza'],,,,,,,
8,twitter,portes_thomas,2025-01-20,P7_cessez_feu,LFI-NFP,"Merci d’en faire l’écho. 
L’humanité à géométrie variable ce mesure encore ce matin à la nouvelle invisibilisation du peuple palestinien.",['palestinien'],,,,,,,
9,twitter,guiraudind,2025-06-11,P7_cessez_feu,LFI-NFP,"🇵🇸 Le Premier Ministre a utilisé aujourd’hui les mots de la propagande israélienne pour justifier son inaction face à l’emprisonnement de journalistes, d’humanitaires et de notre députée @RimaHas. Nous constatons tous les jours la faillite morale de nos représentants, leur lâcheté et leur complicité avec un Etat génocidaire. 

Fort heureusement, malgré les injustices, les actions illégales, l’impunité d’Israël et l’inquiétude que nous éprouvons pour eux, ce que Rima et les membres de la Flottille pour la liberté ont soulevé comme espoir et comme courage, c’est infiniment plus puissant que ces petits dirigeants. Vive notre mobilisation ! Honneur aux braves !",['israelien' 'israel' 'israelienne' 'illegal' 'illegale'],,,,,,,
10,twitter,portes_thomas,2025-03-29,P7_cessez_feu,LFI-NFP,"14 secouristes assassinés par Israël, véritable état voyou hors de contrôle.",['israel'],,,,,,,
