bloc,batch,demand,n,total,pct
Centre / Majorite,CEASEFIRE_BREACH,ceasefire,12,149,8.05
Centre / Majorite,CEASEFIRE_BREACH,combat_antisémitisme,1,149,0.67
Centre / Majorite,CEASEFIRE_BREACH,diplomatic_solution,1,149,0.67
Centre / Majorite,CEASEFIRE_BREACH,disarm_hamas,1,149,0.67
Centre / Majorite,CEASEFIRE_BREACH,event_prohibition,1,149,0.67
Centre / Majorite,CEASEFIRE_BREACH,governance,1,149,0.67
Centre / Majorite,CEASEFIRE_BREACH,heavy_condemnation,1,149,0.67
Centre / Majorite,CEASEFIRE_BREACH,hostage_release,11,149,7.38
Centre / Majorite,CEASEFIRE_BREACH,humanitarian_aid,2,149,1.34
Centre / Majorite,CEASEFIRE_BREACH,international_humanitarian_action,1,149,0.67
Centre / Majorite,CEASEFIRE_BREACH,none,105,149,70.47
Centre / Majorite,CEASEFIRE_BREACH,reconstruction,2,149,1.34
Centre / Majorite,CEASEFIRE_BREACH,respect_droit_international,1,149,0.67
Centre / Majorite,CEASEFIRE_BREACH,sanctions,1,149,0.67
Centre / Majorite,CEASEFIRE_BREACH,state_recognition,1,149,0.67
Centre / Majorite,CEASEFIRE_BREACH,support_unrwa,1,149,0.67
Centre / Majorite,CEASEFIRE_BREACH,two_state_solution,5,149,3.36
Centre / Majorite,CEASEFIRE_BREACH,two_states,1,149,0.67
Centre / Majorite,CHOC,"[""sanctionner l'apologie du terrorisme""
 'réponse ferme et rapide du gouvernement']",1,294,0.34
Centre / Majorite,CHOC,['ceasefire'],1,294,0.34
Centre / Majorite,CHOC,['hostage_release'],5,294,1.7
Centre / Majorite,CHOC,['humanitarian_ceasefire'],1,294,0.34
Centre / Majorite,CHOC,['self_defense' 'eradication_of_terrorists'],1,294,0.34
Centre / Majorite,CHOC,[],86,294,29.25
Centre / Majorite,CHOC,aid_increase,1,294,0.34
Centre / Majorite,CHOC,authority_negotiation,1,294,0.34
Centre / Majorite,CHOC,ceasefire,3,294,1.02
Centre / Majorite,CHOC,end_colonization,1,294,0.34
Centre / Majorite,CHOC,hostage_release,11,294,3.74
Centre / Majorite,CHOC,hostage_support,1,294,0.34
Centre / Majorite,CHOC,humanitarian_access,1,294,0.34
Centre / Majorite,CHOC,humanitarian_aid,4,294,1.36
Centre / Majorite,CHOC,humanitarian_ceasefire,1,294,0.34
Centre / Majorite,CHOC,humanitarian_respect,1,294,0.34
Centre / Majorite,CHOC,humanitarian_truce,4,294,1.36
Centre / Majorite,CHOC,none,165,294,56.12
Centre / Majorite,CHOC,peace,1,294,0.34
Centre / Majorite,CHOC,peace_negotiation,1,294,0.34
Centre / Majorite,CHOC,proportional_response,1,294,0.34
Centre / Majorite,CHOC,security_guarantees,1,294,0.34
Centre / Majorite,CHOC,state_rights,1,294,0.34
Centre / Majorite,MANDATS_CPI,ceasefire,2,20,10.0
Centre / Majorite,MANDATS_CPI,combat_antisemitism,1,20,5.0
Centre / Majorite,MANDATS_CPI,hostage_release,6,20,30.0
Centre / Majorite,MANDATS_CPI,humanitarian_aid,1,20,5.0
Centre / Majorite,MANDATS_CPI,none,9,20,45.0
Centre / Majorite,MANDATS_CPI,oppose_boycott,1,20,5.0
Centre / Majorite,NEW_OFFENSIVE,antisemitism_legislation,1,308,0.32
Centre / Majorite,NEW_OFFENSIVE,ceasefire,22,308,7.14
Centre / Majorite,NEW_OFFENSIVE,cessation_financement,1,308,0.32
Centre / Majorite,NEW_OFFENSIVE,citizen_repatriation,1,308,0.32
Centre / Majorite,NEW_OFFENSIVE,civil_protection,2,308,0.65
Centre / Majorite,NEW_OFFENSIVE,condamnation,1,308,0.32
Centre / Majorite,NEW_OFFENSIVE,de-escalation,3,308,0.97
Centre / Majorite,NEW_OFFENSIVE,dialogue,3,308,0.97
Centre / Majorite,NEW_OFFENSIVE,diplomatic_framework,1,308,0.32
Centre / Majorite,NEW_OFFENSIVE,disarmament,1,308,0.32
Centre / Majorite,NEW_OFFENSIVE,end_of_force,1,308,0.32
Centre / Majorite,NEW_OFFENSIVE,end_of_violence,1,308,0.32
Centre / Majorite,NEW_OFFENSIVE,financement_terrorisme,1,308,0.32
Centre / Majorite,NEW_OFFENSIVE,hostage_release,22,308,7.14
Centre / Majorite,NEW_OFFENSIVE,hostage_return,1,308,0.32
Centre / Majorite,NEW_OFFENSIVE,human_rights_violations,1,308,0.32
Centre / Majorite,NEW_OFFENSIVE,humanitarian_access,3,308,0.97
Centre / Majorite,NEW_OFFENSIVE,humanitarian_aid,11,308,3.57
Centre / Majorite,NEW_OFFENSIVE,humanitarian_aid_delivery,1,308,0.32
Centre / Majorite,NEW_OFFENSIVE,lift_blockade,1,308,0.32
Centre / Majorite,NEW_OFFENSIVE,military_operations_cessation,1,308,0.32
Centre / Majorite,NEW_OFFENSIVE,multilateral_solution,1,308,0.32
Centre / Majorite,NEW_OFFENSIVE,none,183,308,59.42
Centre / Majorite,NEW_OFFENSIVE,normalization,1,308,0.32
Centre / Majorite,NEW_OFFENSIVE,palestinian_reform,1,308,0.32
Centre / Majorite,NEW_OFFENSIVE,peace,2,308,0.65
Centre / Majorite,NEW_OFFENSIVE,peace_agreement,1,308,0.32
Centre / Majorite,NEW_OFFENSIVE,peace_initiatives,1,308,0.32
Centre / Majorite,NEW_OFFENSIVE,peace_process,1,308,0.32
Centre / Majorite,NEW_OFFENSIVE,peace_solution,2,308,0.65
Centre / Majorite,NEW_OFFENSIVE,political_solution,1,308,0.32
Centre / Majorite,NEW_OFFENSIVE,pressure_on_Israel,1,308,0.32
Centre / Majorite,NEW_OFFENSIVE,recognition_of_state,1,308,0.32
Centre / Majorite,NEW_OFFENSIVE,recognition_of_two_states,1,308,0.32
Centre / Majorite,NEW_OFFENSIVE,regional_security,1,308,0.32
Centre / Majorite,NEW_OFFENSIVE,reinstatement_of_companies,1,308,0.32
Centre / Majorite,NEW_OFFENSIVE,release_hostages,1,308,0.32
Centre / Majorite,NEW_OFFENSIVE,reopening_stands,1,308,0.32
Centre / Majorite,NEW_OFFENSIVE,report,1,308,0.32
Centre / Majorite,NEW_OFFENSIVE,sanctions,2,308,0.65
Centre / Majorite,NEW_OFFENSIVE,state_recognition,17,308,5.52
Centre / Majorite,NEW_OFFENSIVE,support_plan,1,308,0.32
Centre / Majorite,NEW_OFFENSIVE,two_state_solution,6,308,1.95
Centre / Majorite,POST_CIJ,anti_semitism_combating,1,59,1.69
Centre / Majorite,POST_CIJ,ceasefire,6,59,10.17
Centre / Majorite,POST_CIJ,freedom_of_speech,1,59,1.69
Centre / Majorite,POST_CIJ,hostage_release,5,59,8.47
Centre / Majorite,POST_CIJ,humanitarian_aid,2,59,3.39
Centre / Majorite,POST_CIJ,none,41,59,69.49
Centre / Majorite,POST_CIJ,resignation,2,59,3.39
Centre / Majorite,POST_CIJ,sanctions,1,59,1.69
Centre / Majorite,POST_SINWAR,allow_israeli_companies,1,40,2.5
Centre / Majorite,POST_SINWAR,ceasefire,4,40,10.0
Centre / Majorite,POST_SINWAR,hostage_release,2,40,5.0
Centre / Majorite,POST_SINWAR,humanitarian_aid,5,40,12.5
Centre / Majorite,POST_SINWAR,humanitarian_response,1,40,2.5
Centre / Majorite,POST_SINWAR,humanitarian_support,1,40,2.5
Centre / Majorite,POST_SINWAR,immediate_resignation,1,40,2.5
Centre / Majorite,POST_SINWAR,institutional_recovery,1,40,2.5
Centre / Majorite,POST_SINWAR,investigation,1,40,2.5
Centre / Majorite,POST_SINWAR,none,21,40,52.5
Centre / Majorite,POST_SINWAR,removal_UN_staff,1,40,2.5
Centre / Majorite,POST_SINWAR,respect_international_law,1,40,2.5
Centre / Majorite,RAFAH,ceasefire,19,144,13.19
Centre / Majorite,RAFAH,hostage_release,12,144,8.33
Centre / Majorite,RAFAH,humanitarian_access,1,144,0.69
Centre / Majorite,RAFAH,humanitarian_aid,4,144,2.78
Centre / Majorite,RAFAH,humanitarian_needs,1,144,0.69
Centre / Majorite,RAFAH,none,101,144,70.14
Centre / Majorite,RAFAH,peace_conditions,1,144,0.69
Centre / Majorite,RAFAH,peace_solution,1,144,0.69
Centre / Majorite,RAFAH,sanctions,1,144,0.69
Centre / Majorite,RAFAH,state_recognition,1,144,0.69
Centre / Majorite,RAFAH,two_state_solution,2,144,1.39
Droite,CEASEFIRE_BREACH,cooperation_against_terror,1,118,0.85
Droite,CEASEFIRE_BREACH,dissolution_urgence_pal,1,118,0.85
Droite,CEASEFIRE_BREACH,hostage_release,2,118,1.69
Droite,CEASEFIRE_BREACH,infrastructure_funding,1,118,0.85
Droite,CEASEFIRE_BREACH,none,108,118,91.53
Droite,CEASEFIRE_BREACH,release_hostages,1,118,0.85
Droite,CEASEFIRE_BREACH,sanctions,2,118,1.69
Droite,CEASEFIRE_BREACH,state_recognition,1,118,0.85
Droite,CEASEFIRE_BREACH,terrorist_organization_listing,1,118,0.85
Droite,CHOC,UN_investigation,1,356,0.28
Droite,CHOC,['ceasefire'],1,356,0.28
Droite,CHOC,['cut_aid'],1,356,0.28
Droite,CHOC,['cut_funding'],1,356,0.28
Droite,CHOC,['end_tax_convention'],1,356,0.28
Droite,CHOC,['hostage_release'],4,356,1.12
Droite,CHOC,['manifestation_interdiction'],1,356,0.28
Droite,CHOC,[],42,356,11.8
Droite,CHOC,accountability_for_hostages,1,356,0.28
Droite,CHOC,aid_suspension,1,356,0.28
Droite,CHOC,combat_antisemitism,1,356,0.28
Droite,CHOC,destruction_Hamas,1,356,0.28
Droite,CHOC,disarmament,1,356,0.28
Droite,CHOC,end_aid_to_palestinians,1,356,0.28
Droite,CHOC,hamas_leadership_judgment,1,356,0.28
Droite,CHOC,hostage_release,5,356,1.4
Droite,CHOC,international_law,1,356,0.28
Droite,CHOC,legislative_means_against_islamism,1,356,0.28
Droite,CHOC,none,279,356,78.37
Droite,CHOC,recognition_of_Palestine,1,356,0.28
Droite,CHOC,sanctions_against_hamas,1,356,0.28
Droite,CHOC,security_for_Israel,1,356,0.28
Droite,CHOC,state_recognition,2,356,0.56
Droite,CHOC,stop_aid_to_terrorist_funding,1,356,0.28
Droite,CHOC,support_israel,3,356,0.84
Droite,CHOC,suspension_aide_publique,1,356,0.28
Droite,CHOC,two_state_solution,1,356,0.28
Droite,MANDATS_CPI,ban_video_game,2,41,4.88
Droite,MANDATS_CPI,ceasefire,4,41,9.76
Droite,MANDATS_CPI,hostage_release,3,41,7.32
Droite,MANDATS_CPI,humanitarian_aid,1,41,2.44
Droite,MANDATS_CPI,none,29,41,70.73
Droite,MANDATS_CPI,two_state_solution,2,41,4.88
Droite,NEW_OFFENSIVE,anti_semitism_law,1,205,0.49
Droite,NEW_OFFENSIVE,defense_of_democracies,1,205,0.49
Droite,NEW_OFFENSIVE,disarm_hamas,1,205,0.49
Droite,NEW_OFFENSIVE,government_resignation,1,205,0.49
Droite,NEW_OFFENSIVE,hospitality,1,205,0.49
Droite,NEW_OFFENSIVE,hostage_release,4,205,1.95
Droite,NEW_OFFENSIVE,humanitarian_aid,2,205,0.98
